departure_code,arrival_code,pos_provider_code,route_type
ASP,BOM,emirates.com,airport
BEG,AMM,emirates.com,airport
AKL,CMB,emirates.com,airport
ACC,PER,emirates.com,airport
ASM,YKF,emirates.com,airport
ASM,YYZ,emirates.com,airport
ASM,YTZ,emirates.com,airport
ASM,YHM,emirates.com,airport
ACC,LBB,emirates.com,airport
ADD,PRG,emirates.com,airport
BGW,MUC,emirates.com,airport
ACC,LBA,emirates.com,airport
BCN,GRU,emirates.com,airport
BCN,CGH,emirates.com,airport
AKL,TBS,emirates.com,airport
ADD,LBG,emirates.com,airport
ADD,ORY,emirates.com,airport
ADD,CDG,emirates.com,airport
ADD,BVA,emirates.com,airport
ABJ,AHB,emirates.com,airport
BCN,MCY,emirates.com,airport
AKL,AMD,emirates.com,airport
ALG,KIX,emirates.com,airport
ALG,ITM,emirates.com,airport
ADD,OMR,emirates.com,airport
ASM,SHJ,emirates.com,airport
AAN,MNL,emirates.com,airport
AMM,SHJ,emirates.com,airport
BCN,HLP,emirates.com,airport
BCN,CGK,emirates.com,airport
BGW,JIB,emirates.com,airport
AMM,MFR,emirates.com,airport
BGW,ILO,emirates.com,airport
ALG,HYD,emirates.com,airport
BGW,HAN,emirates.com,airport
ASM,NKC,emirates.com,airport
ADD,AOR,emirates.com,airport
ADD,NAS,emirates.com,airport
AHB,MAA,emirates.com,airport
BCN,CMB,emirates.com,airport
AMM,LPT,emirates.com,airport
BCN,BEY,emirates.com,airport
AMM,LMV,emirates.com,airport
BCN,AMM,emirates.com,airport
BGW,BBU,emirates.com,airport
BGW,OTP,emirates.com,airport
GYD,PBM,emirates.com,airport
GYD,MCT,emirates.com,airport
GYD,LYP,emirates.com,airport
GYD,KWI,emirates.com,airport
AHB,DED,emirates.com,airport
GYD,KUL,emirates.com,airport
ALG,MPM,emirates.com,airport
AMM,WUH,emirates.com,airport
BGW,AOR,emirates.com,airport
GYD,HYD,emirates.com,airport
GYD,HKT,emirates.com,airport
ABJ,LAD,emirates.com,airport
AKL,ELS,emirates.com,airport
BAH,BEN,emirates.com,airport
