departure_code,arrival_code,pos_provider_code,route_type,direct_flight_only,allowed_inbound_days,allowed_outbound_days,sum_of_oneway,app_types
RUH,CAI,zm.wego.com,airport,false,*,*,true,*
RUH,JED,zm.wego.com,airport,false,*,*,true,*
JED,CAI,zm.wego.com,airport,false,*,*,true,*
JED,RUH,zm.wego.com,airport,false,*,*,true,*
CAI,RUH,zm.wego.com,airport,false,*,*,true,*
CAI,JED,zm.wego.com,airport,false,*,*,true,*
DMM,JED,zm.wego.com,airport,false,*,*,true,*
DMM,CAI,zm.wego.com,airport,false,*,*,true,*
RUH,DXB,zm.wego.com,airport,false,*,*,true,*
JED,DMM,zm.wego.com,airport,false,*,*,true,*
JED,SAW,zm.wego.com,airport,false,*,*,true,*
MED,CAI,zm.wego.com,airport,false,*,*,true,*
CAI,DMM,zm.wego.com,airport,false,*,*,true,*
RUH,MED,zm.wego.com,airport,false,*,*,true,*
AHB,RUH,zm.wego.com,airport,false,*,*,true,*
DXB,RUH,zm.wego.com,airport,false,*,*,true,*
MED,RUH,zm.wego.com,airport,false,*,*,true,*
DMM,MED,zm.wego.com,airport,false,*,*,true,*
DXB,MNL,zm.wego.com,airport,false,*,*,true,*
RUH,ISB,zm.wego.com,airport,false,*,*,true,*
RUH,LHE,zm.wego.com,airport,false,*,*,true,*
RUH,LKO,zm.wego.com,airport,false,*,*,true,*
AHB,JED,zm.wego.com,airport,false,*,*,true,*
AUH,SPX,zm.wego.com,airport,false,*,*,true,*
RUH,AHB,zm.wego.com,airport,false,*,*,true,*
CAI,MED,zm.wego.com,airport,false,*,*,true,*
JED,IST,zm.wego.com,airport,false,*,*,true,*
DXB,JED,zm.wego.com,airport,false,*,*,true,*
JED,DXB,zm.wego.com,airport,false,*,*,true,*
TUU,JED,zm.wego.com,airport,false,*,*,true,*
RUH,SAW,zm.wego.com,airport,false,*,*,true,*
KWI,SAW,zm.wego.com,airport,false,*,*,true,*
DMM,RUH,zm.wego.com,airport,false,*,*,true,*
JED,HMB,zm.wego.com,airport,false,*,*,true,*
RUH,DEL,zm.wego.com,airport,false,*,*,true,*
GIZ,RUH,zm.wego.com,airport,false,*,*,true,*
RUH,DMM,zm.wego.com,airport,false,*,*,true,*
JED,KHI,zm.wego.com,airport,false,*,*,true,*
AMM,RUH,zm.wego.com,airport,false,*,*,true,*
MED,DMM,zm.wego.com,airport,false,*,*,true,*
RUH,AMM,zm.wego.com,airport,false,*,*,true,*
RUH,IST,zm.wego.com,airport,false,*,*,true,*
SPX,AUH,zm.wego.com,airport,false,*,*,true,*
JED,AHB,zm.wego.com,airport,false,*,*,true,*
RUH,GIZ,zm.wego.com,airport,false,*,*,true,*
JED,LKO,zm.wego.com,airport,false,*,*,true,*
TUU,RUH,zm.wego.com,airport,false,*,*,true,*
GIZ,JED,zm.wego.com,airport,false,*,*,true,*
RUH,HMB,zm.wego.com,airport,false,*,*,true,*
JED,CCJ,zm.wego.com,airport,false,*,*,true,*
DMM,LKO,zm.wego.com,airport,false,*,*,true,*
