departure_code,arrival_code,pos_provider_code,route_type,direct_flight_only,allowed_inbound_days,allowed_outbound_days,sum_of_oneway,app_types
FRA,CPH,zd.wego.com,airport,false,*,*,true,*
VIE,CPH,zd.wego.com,airport,false,*,*,true,*
DUS,CPH,zd.wego.com,airport,false,*,*,true,*
TAS,CPH,zd.wego.com,airport,false,*,*,true,*
CPH,ARN,zd.wego.com,airport,false,*,*,true,*
CPH,GVA,zd.wego.com,airport,false,*,*,true,*
CPH,AMM,zd.wego.com,airport,false,*,*,true,*
CPH,STR,zd.wego.com,airport,false,*,*,true,*
CPH,STN,zd.wego.com,airport,false,*,*,true,*
CPH,TAS,zd.wego.com,airport,false,*,*,true,*
CPH,FRA,zd.wego.com,airport,false,*,*,true,*
CPH,BEY,zd.wego.com,airport,false,*,*,true,*
CPH,CGN,zd.wego.com,airport,false,*,*,true,*
CPH,DUS,zd.wego.com,airport,false,*,*,true,*
BEY,CPH,zd.wego.com,airport,false,*,*,true,*
ARN,CPH,zd.wego.com,airport,false,*,*,true,*
STR,CPH,zd.wego.com,airport,false,*,*,true,*
STN,CPH,zd.wego.com,airport,false,*,*,true,*
MUC,ALA,zd.wego.com,airport,false,*,*,true,*
EDO,ALA,zd.wego.com,airport,false,*,*,true,*
ALA,CGN,zd.wego.com,airport,false,*,*,true,*
BEG,MUC,zd.wego.com,airport,false,*,*,true,*
ALA,STN,zd.wego.com,airport,false,*,*,true,*
SKP,VKO,zd.wego.com,airport,false,*,*,true,*
NQZ,BEY,zd.wego.com,airport,false,*,*,true,*
KCM,BEY,zd.wego.com,airport,false,*,*,true,*
FRA,BEY,zd.wego.com,airport,false,*,*,true,*
VIE,BEY,zd.wego.com,airport,false,*,*,true,*
CKZ,BEY,zd.wego.com,airport,false,*,*,true,*
KSY,BEY,zd.wego.com,airport,false,*,*,true,*
BAL,BEY,zd.wego.com,airport,false,*,*,true,*
BAH,VKO,zd.wego.com,airport,false,*,*,true,*
SSH,VKO,zd.wego.com,airport,false,*,*,true,*
IGD,BEY,zd.wego.com,airport,false,*,*,true,*
DMM,VKO,zd.wego.com,airport,false,*,*,true,*
DUS,BEY,zd.wego.com,airport,false,*,*,true,*
SJJ,VKO,zd.wego.com,airport,false,*,*,true,*
HTY,BEY,zd.wego.com,airport,false,*,*,true,*
DLM,BEY,zd.wego.com,airport,false,*,*,true,*
GZT,BEY,zd.wego.com,airport,false,*,*,true,*
SZF,BEY,zd.wego.com,airport,false,*,*,true,*
GZP,BEY,zd.wego.com,airport,false,*,*,true,*
BGY,VKO,zd.wego.com,airport,false,*,*,true,*
BGW,VKO,zd.wego.com,airport,false,*,*,true,*
MED,BEY,zd.wego.com,airport,false,*,*,true,*
CAI,VKO,zd.wego.com,airport,false,*,*,true,*
BGG,BEY,zd.wego.com,airport,false,*,*,true,*
AMM,BEY,zd.wego.com,airport,false,*,*,true,*
MUC,BEY,zd.wego.com,airport,false,*,*,true,*
MLX,BEY,zd.wego.com,airport,false,*,*,true,*
SXZ,BEY,zd.wego.com,airport,false,*,*,true,*
TJK,VKO,zd.wego.com,airport,false,*,*,true,*
SHJ,VKO,zd.wego.com,airport,false,*,*,true,*
TZX,BEY,zd.wego.com,airport,false,*,*,true,*
GYD,BEY,zd.wego.com,airport,false,*,*,true,*
KYA,VKO,zd.wego.com,airport,false,*,*,true,*
EDO,BEY,zd.wego.com,airport,false,*,*,true,*
PRN,VKO,zd.wego.com,airport,false,*,*,true,*
TZL,VKO,zd.wego.com,airport,false,*,*,true,*
TAS,BEY,zd.wego.com,airport,false,*,*,true,*
ADF,BEY,zd.wego.com,airport,false,*,*,true,*
ADB,BEY,zd.wego.com,airport,false,*,*,true,*
YKO,BEY,zd.wego.com,airport,false,*,*,true,*
ALG,VKO,zd.wego.com,airport,false,*,*,true,*
OGU,BEY,zd.wego.com,airport,false,*,*,true,*
HRG,VKO,zd.wego.com,airport,false,*,*,true,*
CPH,VKO,zd.wego.com,airport,false,*,*,true,*
BEY,VKO,zd.wego.com,airport,false,*,*,true,*
BEY,ARN,zd.wego.com,airport,false,*,*,true,*
BEY,GZP,zd.wego.com,airport,false,*,*,true,*
BEY,EZS,zd.wego.com,airport,false,*,*,true,*
BEY,SZF,zd.wego.com,airport,false,*,*,true,*
BEY,GVA,zd.wego.com,airport,false,*,*,true,*
BEY,ERC,zd.wego.com,airport,false,*,*,true,*
BEY,NKT,zd.wego.com,airport,false,*,*,true,*
BEY,MQM,zd.wego.com,airport,false,*,*,true,*
BEY,MED,zd.wego.com,airport,false,*,*,true,*
BEY,AMM,zd.wego.com,airport,false,*,*,true,*
BEY,BGG,zd.wego.com,airport,false,*,*,true,*
BEY,MLX,zd.wego.com,airport,false,*,*,true,*
BEY,MUC,zd.wego.com,airport,false,*,*,true,*
BEY,AYT,zd.wego.com,airport,false,*,*,true,*
BEY,EDO,zd.wego.com,airport,false,*,*,true,*
BEY,STR,zd.wego.com,airport,false,*,*,true,*
BEY,GYD,zd.wego.com,airport,false,*,*,true,*
BEY,TZX,zd.wego.com,airport,false,*,*,true,*
