departure_code,arrival_code,pos_provider_code,route_type,direct_flight_only,allowed_inbound_days,allowed_outbound_days,sum_of_oneway
YYZ,ORD,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,IND,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,MCO,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,BOS,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,JFK,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,SAN,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,ICT,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,ATL,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,SLC,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,FLL,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,MSP,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,IAH,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,LAS,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,MIA,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,AUS,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,RDU,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,DTW,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,SMF,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,LGA,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,PBI,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,GSO,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,LAX,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,SRQ,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,MSY,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,TPA,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,DSM,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,SAT,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,TUS,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,BWI,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,DEN,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,DFW,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,SFO,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,MCI,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,PIT,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,CMH,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,HSV,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,GEG,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,PHL,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,JAX,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,CUN,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,IAD,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,CLT,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,BUR,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,YYZ,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,SEA,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,STL,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,ABQ,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,MFE,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,BNA,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,RIC,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,MTY,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,COD,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,OKC,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,CID,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,HNL,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,PHX,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,PDX,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,FAT,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,ORF,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,OMA,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,SYR,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,SDF,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,CLE,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,CHS,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,ELP,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,EWR,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,LBB,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,SNA,theflightsfare.com-CA,airport,false,*,*,false,*
