departure_code,arrival_code,pos_provider_code,route_type,direct_flight_only,allowed_inbound_days,allowed_outbound_days,sum_of_oneway
PDX,ORD,theflightsfare.co.uk,airport,false,*,*,false
SNA,IND,theflightsfare.co.uk,airport,false,*,*,false
EWR,MCO,theflightsfare.co.uk,airport,false,*,*,false
RDU,BOS,theflightsfare.co.uk,airport,false,*,*,false
IAH,MCO,theflightsfare.co.uk,airport,false,*,*,false
MCO,JFK,theflightsfare.co.uk,airport,false,*,*,false
SEA,SAN,theflightsfare.co.uk,airport,false,*,*,false
FLL,ICT,theflightsfare.co.uk,airport,false,*,*,false
FLL,ATL,theflightsfare.co.uk,airport,false,*,*,false
DFW,SLC,theflightsfare.co.uk,airport,false,*,*,false
ICT,FLL,theflightsfare.co.uk,airport,false,*,*,false
DEN,MSP,theflightsfare.co.uk,airport,false,*,*,false
FLL,IAH,theflightsfare.co.uk,airport,false,*,*,false
SNA,LAS,theflightsfare.co.uk,airport,false,*,*,false
IAH,MIA,theflightsfare.co.uk,airport,false,*,*,false
MIA,JFK,theflightsfare.co.uk,airport,false,*,*,false
SEA,AUS,theflightsfare.co.uk,airport,false,*,*,false
CLE,RDU,theflightsfare.co.uk,airport,false,*,*,false
DEN,MCO,theflightsfare.co.uk,airport,false,*,*,false
LAS,ORD,theflightsfare.co.uk,airport,false,*,*,false
ABE,DTW,theflightsfare.co.uk,airport,false,*,*,false
SLC,SMF,theflightsfare.co.uk,airport,false,*,*,false
LGB,LGA,theflightsfare.co.uk,airport,false,*,*,false
CVG,PBI,theflightsfare.co.uk,airport,false,*,*,false
OKC,GSO,theflightsfare.co.uk,airport,false,*,*,false
SMF,LAX,theflightsfare.co.uk,airport,false,*,*,false
PNS,SRQ,theflightsfare.co.uk,airport,false,*,*,false
MEM,MSY,theflightsfare.co.uk,airport,false,*,*,false
CVG,FLL,theflightsfare.co.uk,airport,false,*,*,false
AVL,TPA,theflightsfare.co.uk,airport,false,*,*,false
MCI,ATL,theflightsfare.co.uk,airport,false,*,*,false
BOS,ORD,theflightsfare.co.uk,airport,false,*,*,false
EWR,PBI,theflightsfare.co.uk,airport,false,*,*,false
LGA,DSM,theflightsfare.co.uk,airport,false,*,*,false
CLE,MIA,theflightsfare.co.uk,airport,false,*,*,false
CHS,SAT,theflightsfare.co.uk,airport,false,*,*,false
CHS,LAS,theflightsfare.co.uk,airport,false,*,*,false
SEA,TUS,theflightsfare.co.uk,airport,false,*,*,false
PHX,BWI,theflightsfare.co.uk,airport,false,*,*,false
SAT,DEN,theflightsfare.co.uk,airport,false,*,*,false
CLE,DFW,theflightsfare.co.uk,airport,false,*,*,false
MCI,LAX,theflightsfare.co.uk,airport,false,*,*,false
LAX,DEN,theflightsfare.co.uk,airport,false,*,*,false
MEM,SFO,theflightsfare.co.uk,airport,false,*,*,false
DTW,ATL,theflightsfare.co.uk,airport,false,*,*,false
OMA,DFW,theflightsfare.co.uk,airport,false,*,*,false
ORD,MCI,theflightsfare.co.uk,airport,false,*,*,false
FLL,PIT,theflightsfare.co.uk,airport,false,*,*,false
MIA,DEN,theflightsfare.co.uk,airport,false,*,*,false
ATL,FLL,theflightsfare.co.uk,airport,false,*,*,false
RIC,CMH,theflightsfare.co.uk,airport,false,*,*,false
BWI,ORD,theflightsfare.co.uk,airport,false,*,*,false
HRL,IAH,theflightsfare.co.uk,airport,false,*,*,false
PHL,SAN,theflightsfare.co.uk,airport,false,*,*,false
ATL,LAX,theflightsfare.co.uk,airport,false,*,*,false
PWM,HSV,theflightsfare.co.uk,airport,false,*,*,false
MCO,ORD,theflightsfare.co.uk,airport,false,*,*,false
MSY,LGA,theflightsfare.co.uk,airport,false,*,*,false
SEA,BOS,theflightsfare.co.uk,airport,false,*,*,false
DTW,DFW,theflightsfare.co.uk,airport,false,*,*,false
MIA,ORD,theflightsfare.co.uk,airport,false,*,*,false
KOA,DFW,theflightsfare.co.uk,airport,false,*,*,false
LAS,GEG,theflightsfare.co.uk,airport,false,*,*,false
MSP,PHL,theflightsfare.co.uk,airport,false,*,*,false
ATL,ORD,theflightsfare.co.uk,airport,false,*,*,false
FLL,SFO,theflightsfare.co.uk,airport,false,*,*,false
MIA,ATL,theflightsfare.co.uk,airport,false,*,*,false
SEA,LAX,theflightsfare.co.uk,airport,false,*,*,false
ATL,JAX,theflightsfare.co.uk,airport,false,*,*,false
TPA,MIA,theflightsfare.co.uk,airport,false,*,*,false
CRP,MIA,theflightsfare.co.uk,airport,false,*,*,false
DFW,DEN,theflightsfare.co.uk,airport,false,*,*,false
COS,IND,theflightsfare.co.uk,airport,false,*,*,false
LAS,FLL,theflightsfare.co.uk,airport,false,*,*,false
EWR,ORD,theflightsfare.co.uk,airport,false,*,*,false
MIA,MSY,theflightsfare.co.uk,airport,false,*,*,false
SAT,ICT,theflightsfare.co.uk,airport,false,*,*,false
LAX,ORD,theflightsfare.co.uk,airport,false,*,*,false
DEN,CUN,theflightsfare.co.uk,airport,false,*,*,false
PHL,SAT,theflightsfare.co.uk,airport,false,*,*,false
PHL,MIA,theflightsfare.co.uk,airport,false,*,*,false
LGA,MCO,theflightsfare.co.uk,airport,false,*,*,false
ATL,MSP,theflightsfare.co.uk,airport,false,*,*,false
EWR,FLL,theflightsfare.co.uk,airport,false,*,*,false
DEN,IAD,theflightsfare.co.uk,airport,false,*,*,false
MEM,IAD,theflightsfare.co.uk,airport,false,*,*,false
PIT,CLT,theflightsfare.co.uk,airport,false,*,*,false
RDU,BUR,theflightsfare.co.uk,airport,false,*,*,false
LGA,DTW,theflightsfare.co.uk,airport,false,*,*,false
EWR,IND,theflightsfare.co.uk,airport,false,*,*,false
IND,YYZ,theflightsfare.co.uk,airport,false,*,*,false
PHL,LAX,theflightsfare.co.uk,airport,false,*,*,false
LAS,MIA,theflightsfare.co.uk,airport,false,*,*,false
GSP,SEA,theflightsfare.co.uk,airport,false,*,*,false
AUS,STL,theflightsfare.co.uk,airport,false,*,*,false
TUL,DEN,theflightsfare.co.uk,airport,false,*,*,false
SLC,DEN,theflightsfare.co.uk,airport,false,*,*,false
FLL,PHL,theflightsfare.co.uk,airport,false,*,*,false
DEN,SLC,theflightsfare.co.uk,airport,false,*,*,false
MEM,IAH,theflightsfare.co.uk,airport,false,*,*,false
BNA,AUS,theflightsfare.co.uk,airport,false,*,*,false
ORD,SFO,theflightsfare.co.uk,airport,false,*,*,false
BWI,BOS,theflightsfare.co.uk,airport,false,*,*,false
LAX,ATL,theflightsfare.co.uk,airport,false,*,*,false
IAH,FLL,theflightsfare.co.uk,airport,false,*,*,false
ATL,LGA,theflightsfare.co.uk,airport,false,*,*,false
RNO,ABQ,theflightsfare.co.uk,airport,false,*,*,false
FLL,MFE,theflightsfare.co.uk,airport,false,*,*,false
TUL,DFW,theflightsfare.co.uk,airport,false,*,*,false
SAT,STL,theflightsfare.co.uk,airport,false,*,*,false
DEN,BWI,theflightsfare.co.uk,airport,false,*,*,false
DFW,LGA,theflightsfare.co.uk,airport,false,*,*,false
LAX,LAS,theflightsfare.co.uk,airport,false,*,*,false
SJC,LAX,theflightsfare.co.uk,airport,false,*,*,false
SAT,BNA,theflightsfare.co.uk,airport,false,*,*,false
ABQ,RIC,theflightsfare.co.uk,airport,false,*,*,false
IAH,MTY,theflightsfare.co.uk,airport,false,*,*,false
LGA,ATL,theflightsfare.co.uk,airport,false,*,*,false
CMH,COD,theflightsfare.co.uk,airport,false,*,*,false
PDX,LAX,theflightsfare.co.uk,airport,false,*,*,false
ATL,SAT,theflightsfare.co.uk,airport,false,*,*,false
PHX,OKC,theflightsfare.co.uk,airport,false,*,*,false
DEN,CID,theflightsfare.co.uk,airport,false,*,*,false
SFO,LAS,theflightsfare.co.uk,airport,false,*,*,false
FAT,MFE,theflightsfare.co.uk,airport,false,*,*,false
LGA,ORD,theflightsfare.co.uk,airport,false,*,*,false
BOS,DFW,theflightsfare.co.uk,airport,false,*,*,false
BRO,FLL,theflightsfare.co.uk,airport,false,*,*,false
FLL,DTW,theflightsfare.co.uk,airport,false,*,*,false
LAX,HNL,theflightsfare.co.uk,airport,false,*,*,false
DFW,PHX,theflightsfare.co.uk,airport,false,*,*,false
LAS,PDX,theflightsfare.co.uk,airport,false,*,*,false
PHX,FAT,theflightsfare.co.uk,airport,false,*,*,false
PHX,DEN,theflightsfare.co.uk,airport,false,*,*,false
LAS,ORF,theflightsfare.co.uk,airport,false,*,*,false
SAN,DEN,theflightsfare.co.uk,airport,false,*,*,false
DFW,OMA,theflightsfare.co.uk,airport,false,*,*,false
HOU,ATL,theflightsfare.co.uk,airport,false,*,*,false
CLE,SFO,theflightsfare.co.uk,airport,false,*,*,false
LGA,MSP,theflightsfare.co.uk,airport,false,*,*,false
IAH,SYR,theflightsfare.co.uk,airport,false,*,*,false
CLT,FLL,theflightsfare.co.uk,airport,false,*,*,false
ABQ,PHX,theflightsfare.co.uk,airport,false,*,*,false
IND,DEN,theflightsfare.co.uk,airport,false,*,*,false
EWR,ATL,theflightsfare.co.uk,airport,false,*,*,false
OMA,ABQ,theflightsfare.co.uk,airport,false,*,*,false
PBI,IND,theflightsfare.co.uk,airport,false,*,*,false
FLL,DFW,theflightsfare.co.uk,airport,false,*,*,false
MIA,LGA,theflightsfare.co.uk,airport,false,*,*,false
BOS,IAD,theflightsfare.co.uk,airport,false,*,*,false
OKC,DEN,theflightsfare.co.uk,airport,false,*,*,false
IND,DSM,theflightsfare.co.uk,airport,false,*,*,false
FAY,SDF,theflightsfare.co.uk,airport,false,*,*,false
ROC,TPA,theflightsfare.co.uk,airport,false,*,*,false
SNA,PHX,theflightsfare.co.uk,airport,false,*,*,false
FLL,LAX,theflightsfare.co.uk,airport,false,*,*,false
SFO,MCO,theflightsfare.co.uk,airport,false,*,*,false
LBB,YYZ,theflightsfare.co.uk,airport,false,*,*,false
LAX,OKC,theflightsfare.co.uk,airport,false,*,*,false
GEG,MCO,theflightsfare.co.uk,airport,false,*,*,false
CLE,SMF,theflightsfare.co.uk,airport,false,*,*,false
LAX,MIA,theflightsfare.co.uk,airport,false,*,*,false
ATL,CLE,theflightsfare.co.uk,airport,false,*,*,false
ORD,CHS,theflightsfare.co.uk,airport,false,*,*,false
DEN,PHX,theflightsfare.co.uk,airport,false,*,*,false
PHX,ELP,theflightsfare.co.uk,airport,false,*,*,false
BOI,OMA,theflightsfare.co.uk,airport,false,*,*,false
HOU,PHL,theflightsfare.co.uk,airport,false,*,*,false
DTW,LAX,theflightsfare.co.uk,airport,false,*,*,false
RDU,ELP,theflightsfare.co.uk,airport,false,*,*,false
PHX,SFO,theflightsfare.co.uk,airport,false,*,*,false
MIA,SFO,theflightsfare.co.uk,airport,false,*,*,false
DEN,EWR,theflightsfare.co.uk,airport,false,*,*,false
ELP,PHX,theflightsfare.co.uk,airport,false,*,*,false
SJC,GEG,theflightsfare.co.uk,airport,false,*,*,false
STL,DEN,theflightsfare.co.uk,airport,false,*,*,false
EWR,RDU,theflightsfare.co.uk,airport,false,*,*,false
CLT,DEN,theflightsfare.co.uk,airport,false,*,*,false
MSO,LBB,theflightsfare.co.uk,airport,false,*,*,false
FSD,DEN,theflightsfare.co.uk,airport,false,*,*,false
OMA,DEN,theflightsfare.co.uk,airport,false,*,*,false
LIT,DEN,theflightsfare.co.uk,airport,false,*,*,false
MSY,LAX,theflightsfare.co.uk,airport,false,*,*,false
IND,SNA,theflightsfare.co.uk,airport,false,*,*,false
MKE,DEN,theflightsfare.co.uk,airport,false,*,*,false
BWI,LAX,theflightsfare.co.uk,airport,false,*,*,false
PDX,SFO,theflightsfare.co.uk,airport,false,*,*,false
BDL,OMA,theflightsfare.co.uk,airport,false,*,*,false
LGA,IAH,theflightsfare.co.uk,airport,false,*,*,false
BWI,MSP,theflightsfare.co.uk,airport,false,*,*,false
SJC,BUR,theflightsfare.co.uk,airport,false,*,*,false
IAD,RNO,theflightsfare.co.uk,airport,false,*,*,false
RDM,ATL,theflightsfare.co.uk,airport,false,*,*,false
LGA,DEN,theflightsfare.co.uk,airport,false,*,*,false
TPA,IAD,theflightsfare.co.uk,airport,false,*,*,false
EWR,MSY,theflightsfare.co.uk,airport,false,*,*,false
ICT,DTW,theflightsfare.co.uk,airport,false,*,*,false
ORD,IND,theflightsfare.co.uk,airport,false,*,*,false
PHX,LAS,theflightsfare.co.uk,airport,false,*,*,false
SEA,ATL,theflightsfare.co.uk,airport,false,*,*,false
BOS,IAH,theflightsfare.co.uk,airport,false,*,*,false
IND,FAY,theflightsfare.co.uk,airport,false,*,*,false
MCO,MIA,theflightsfare.co.uk,airport,false,*,*,false
DEN,SEA,theflightsfare.co.uk,airport,false,*,*,false
PIT,BNA,theflightsfare.co.uk,airport,false,*,*,false
DEN,DFW,theflightsfare.co.uk,airport,false,*,*,false
LAS,GRB,theflightsfare.co.uk,airport,false,*,*,false
LAX,MCO,theflightsfare.co.uk,airport,false,*,*,false
MIA,PHL,theflightsfare.co.uk,airport,false,*,*,false
LAX,IAH,theflightsfare.co.uk,airport,false,*,*,false
LAX,BJX,theflightsfare.co.uk,airport,false,*,*,false
BNA,PDX,theflightsfare.co.uk,airport,false,*,*,false
SFO,DFW,theflightsfare.co.uk,airport,false,*,*,false
ORD,MSP,theflightsfare.co.uk,airport,false,*,*,false
GSP,EWR,theflightsfare.co.uk,airport,false,*,*,false
ORD,DFW,theflightsfare.co.uk,airport,false,*,*,false
BDL,AVL,theflightsfare.co.uk,airport,false,*,*,false
FLL,BWI,theflightsfare.co.uk,airport,false,*,*,false
IAH,SFO,theflightsfare.co.uk,airport,false,*,*,false
TPA,ATL,theflightsfare.co.uk,airport,false,*,*,false
SJC,BOS,theflightsfare.co.uk,airport,false,*,*,false
LAS,IAH,theflightsfare.co.uk,airport,false,*,*,false
PDX,FAT,theflightsfare.co.uk,airport,false,*,*,false
MKE,ELP,theflightsfare.co.uk,airport,false,*,*,false
LGA,DFW,theflightsfare.co.uk,airport,false,*,*,false
LAS,SFO,theflightsfare.co.uk,airport,false,*,*,false
MHT,DTW,theflightsfare.co.uk,airport,false,*,*,false
BOS,DEN,theflightsfare.co.uk,airport,false,*,*,false
LAS,LAX,theflightsfare.co.uk,airport,false,*,*,false
LAX,RIC,theflightsfare.co.uk,airport,false,*,*,false
SFO,MSY,theflightsfare.co.uk,airport,false,*,*,false
HNL,MCI,theflightsfare.co.uk,airport,false,*,*,false
DFW,LAX,theflightsfare.co.uk,airport,false,*,*,false
IAH,CLE,theflightsfare.co.uk,airport,false,*,*,false
LAX,TUL,theflightsfare.co.uk,airport,false,*,*,false
ELP,SAN,theflightsfare.co.uk,airport,false,*,*,false
MSY,SLC,theflightsfare.co.uk,airport,false,*,*,false
BOI,SEA,theflightsfare.co.uk,airport,false,*,*,false
LGA,STL,theflightsfare.co.uk,airport,false,*,*,false
OKC,PDX,theflightsfare.co.uk,airport,false,*,*,false
JFK,LAS,theflightsfare.co.uk,airport,false,*,*,false
MSP,DEN,theflightsfare.co.uk,airport,false,*,*,false
EWR,MYR,theflightsfare.co.uk,airport,false,*,*,false
IAH,FAT,theflightsfare.co.uk,airport,false,*,*,false
DTW,BIL,theflightsfare.co.uk,airport,false,*,*,false
ORD,OAK,theflightsfare.co.uk,airport,false,*,*,false
LGA,IND,theflightsfare.co.uk,airport,false,*,*,false
LAS,SMF,theflightsfare.co.uk,airport,false,*,*,false
ATL,DCA,theflightsfare.co.uk,airport,false,*,*,false
SMF,SAN,theflightsfare.co.uk,airport,false,*,*,false
LAX,ABQ,theflightsfare.co.uk,airport,false,*,*,false
PHL,PIT,theflightsfare.co.uk,airport,false,*,*,false
BWI,YUL,theflightsfare.co.uk,airport,false,*,*,false
DEN,BDL,theflightsfare.co.uk,airport,false,*,*,false
TPA,PNS,theflightsfare.co.uk,airport,false,*,*,false
LAS,RNO,theflightsfare.co.uk,airport,false,*,*,false
ATL,IAD,theflightsfare.co.uk,airport,false,*,*,false
ANC,BOS,theflightsfare.co.uk,airport,false,*,*,false
SMF,ORD,theflightsfare.co.uk,airport,false,*,*,false
HSV,LAS,theflightsfare.co.uk,airport,false,*,*,false
DEN,MCI,theflightsfare.co.uk,airport,false,*,*,false
IAH,ATL,theflightsfare.co.uk,airport,false,*,*,false
DFW,BWI,theflightsfare.co.uk,airport,false,*,*,false
MSY,IAH,theflightsfare.co.uk,airport,false,*,*,false
BWI,SEA,theflightsfare.co.uk,airport,false,*,*,false
LAX,DFW,theflightsfare.co.uk,airport,false,*,*,false
PHL,DFW,theflightsfare.co.uk,airport,false,*,*,false
SEA,MSY,theflightsfare.co.uk,airport,false,*,*,false
LGA,PBI,theflightsfare.co.uk,airport,false,*,*,false
DEN,MKE,theflightsfare.co.uk,airport,false,*,*,false
SFO,ELP,theflightsfare.co.uk,airport,false,*,*,false
CHA,CLE,theflightsfare.co.uk,airport,false,*,*,false
CVG,DCA,theflightsfare.co.uk,airport,false,*,*,false
SNA,RNO,theflightsfare.co.uk,airport,false,*,*,false
LAX,RNO,theflightsfare.co.uk,airport,false,*,*,false
IAH,LAX,theflightsfare.co.uk,airport,false,*,*,false
HOU,DEN,theflightsfare.co.uk,airport,false,*,*,false
LAX,BNA,theflightsfare.co.uk,airport,false,*,*,false
LAX,SJC,theflightsfare.co.uk,airport,false,*,*,false
XNA,CUN,theflightsfare.co.uk,airport,false,*,*,false
DEN,LAS,theflightsfare.co.uk,airport,false,*,*,false
PSC,MCI,theflightsfare.co.uk,airport,false,*,*,false
CVG,TPA,theflightsfare.co.uk,airport,false,*,*,false
LAX,PHX,theflightsfare.co.uk,airport,false,*,*,false
PHX,PSC,theflightsfare.co.uk,airport,false,*,*,false
ATL,TUS,theflightsfare.co.uk,airport,false,*,*,false
LAX,SLC,theflightsfare.co.uk,airport,false,*,*,false
JAX,BDL,theflightsfare.co.uk,airport,false,*,*,false
DTW,IAD,theflightsfare.co.uk,airport,false,*,*,false
DCA,ATL,theflightsfare.co.uk,airport,false,*,*,false
SAT,MLM,theflightsfare.co.uk,airport,false,*,*,false
BWI,ATL,theflightsfare.co.uk,airport,false,*,*,false
ORD,MTY,theflightsfare.co.uk,airport,false,*,*,false
BWI,FLL,theflightsfare.co.uk,airport,false,*,*,false
BWI,CHS,theflightsfare.co.uk,airport,false,*,*,false
BHM,MLM,theflightsfare.co.uk,airport,false,*,*,false
BWI,DTW,theflightsfare.co.uk,airport,false,*,*,false
ORD,PHX,theflightsfare.co.uk,airport,false,*,*,false
SMF,PHL,theflightsfare.co.uk,airport,false,*,*,false
LGA,AUS,theflightsfare.co.uk,airport,false,*,*,false
PDX,LAS,theflightsfare.co.uk,airport,false,*,*,false
SFO,STL,theflightsfare.co.uk,airport,false,*,*,false
IAH,BOS,theflightsfare.co.uk,airport,false,*,*,false
SRQ,GRR,theflightsfare.co.uk,airport,false,*,*,false
DFW,TPA,theflightsfare.co.uk,airport,false,*,*,false
MSY,OAJ,theflightsfare.co.uk,airport,false,*,*,false
LAS,DFW,theflightsfare.co.uk,airport,false,*,*,false
PHL,MSP,theflightsfare.co.uk,airport,false,*,*,false
SAN,IND,theflightsfare.co.uk,airport,false,*,*,false
FLL,IAD,theflightsfare.co.uk,airport,false,*,*,false
OKC,LAX,theflightsfare.co.uk,airport,false,*,*,false
ABQ,MDW,theflightsfare.co.uk,airport,false,*,*,false
EWR,SEA,theflightsfare.co.uk,airport,false,*,*,false
SAT,SLC,theflightsfare.co.uk,airport,false,*,*,false
MSY,AUS,theflightsfare.co.uk,airport,false,*,*,false
MDW,BNA,theflightsfare.co.uk,airport,false,*,*,false
BZN,PHX,theflightsfare.co.uk,airport,false,*,*,false
LAS,BUR,theflightsfare.co.uk,airport,false,*,*,false
ATL,TPA,theflightsfare.co.uk,airport,false,*,*,false
GRR,ORD,theflightsfare.co.uk,airport,false,*,*,false
FNT,MCO,theflightsfare.co.uk,airport,false,*,*,false
LAS,IND,theflightsfare.co.uk,airport,false,*,*,false
PDX,RDD,theflightsfare.co.uk,airport,false,*,*,false
IAD,ORD,theflightsfare.co.uk,airport,false,*,*,false
IAH,LGA,theflightsfare.co.uk,airport,false,*,*,false
DEN,HOU,theflightsfare.co.uk,airport,false,*,*,false
DFW,MSY,theflightsfare.co.uk,airport,false,*,*,false
LAS,DTW,theflightsfare.co.uk,airport,false,*,*,false
RDU,MCO,theflightsfare.co.uk,airport,false,*,*,false
SEA,FLL,theflightsfare.co.uk,airport,false,*,*,false
LAX,JFK,theflightsfare.co.uk,airport,false,*,*,false
EWR,SAT,theflightsfare.co.uk,airport,false,*,*,false
ELP,BWI,theflightsfare.co.uk,airport,false,*,*,false
LAS,TPA,theflightsfare.co.uk,airport,false,*,*,false
MEM,BJX,theflightsfare.co.uk,airport,false,*,*,false
LAS,ATL,theflightsfare.co.uk,airport,false,*,*,false
DEN,TUL,theflightsfare.co.uk,airport,false,*,*,false
FLL,CVG,theflightsfare.co.uk,airport,false,*,*,false
IAD,LAX,theflightsfare.co.uk,airport,false,*,*,false
CVG,DFW,theflightsfare.co.uk,airport,false,*,*,false
RDM,ANC,theflightsfare.co.uk,airport,false,*,*,false
DEN,BUR,theflightsfare.co.uk,airport,false,*,*,false
AUS,MFR,theflightsfare.co.uk,airport,false,*,*,false
LGA,SAN,theflightsfare.co.uk,airport,false,*,*,false
RNO,ORF,theflightsfare.co.uk,airport,false,*,*,false
ACV,SBA,theflightsfare.co.uk,airport,false,*,*,false
EWR,LAX,theflightsfare.co.uk,airport,false,*,*,false
DSM,LAS,theflightsfare.co.uk,airport,false,*,*,false
TUS,SEA,theflightsfare.co.uk,airport,false,*,*,false
FLL,HOU,theflightsfare.co.uk,airport,false,*,*,false
RIC,DSM,theflightsfare.co.uk,airport,false,*,*,false
SAT,LAS,theflightsfare.co.uk,airport,false,*,*,false
LAX,MZT,theflightsfare.co.uk,airport,false,*,*,false
FLL,LAS,theflightsfare.co.uk,airport,false,*,*,false
FLL,TPA,theflightsfare.co.uk,airport,false,*,*,false
ORD,ABQ,theflightsfare.co.uk,airport,false,*,*,false
ATL,LAS,theflightsfare.co.uk,airport,false,*,*,false
SAN,MSP,theflightsfare.co.uk,airport,false,*,*,false
PHX,RHI,theflightsfare.co.uk,airport,false,*,*,false
RDU,DTW,theflightsfare.co.uk,airport,false,*,*,false
PDX,MSO,theflightsfare.co.uk,airport,false,*,*,false
PHX,SLC,theflightsfare.co.uk,airport,false,*,*,false
LAS,SAN,theflightsfare.co.uk,airport,false,*,*,false
MSY,ATL,theflightsfare.co.uk,airport,false,*,*,false
SAN,MEM,theflightsfare.co.uk,airport,false,*,*,false
FLL,KOA,theflightsfare.co.uk,airport,false,*,*,false
IAD,DTW,theflightsfare.co.uk,airport,false,*,*,false
SFO,LAX,theflightsfare.co.uk,airport,false,*,*,false
LAX,MCI,theflightsfare.co.uk,airport,false,*,*,false
ATL,RSW,theflightsfare.co.uk,airport,false,*,*,false
HOU,RNO,theflightsfare.co.uk,airport,false,*,*,false
COS,MKE,theflightsfare.co.uk,airport,false,*,*,false
MFE,MSP,theflightsfare.co.uk,airport,false,*,*,false
STL,EWR,theflightsfare.co.uk,airport,false,*,*,false
ORD,DLH,theflightsfare.co.uk,airport,false,*,*,false
ORD,ORF,theflightsfare.co.uk,airport,false,*,*,false
IND,BWI,theflightsfare.co.uk,airport,false,*,*,false
EWR,AUS,theflightsfare.co.uk,airport,false,*,*,false
JAX,BUF,theflightsfare.co.uk,airport,false,*,*,false
LGA,SFO,theflightsfare.co.uk,airport,false,*,*,false
FLL,RST,theflightsfare.co.uk,airport,false,*,*,false
OKC,AUS,theflightsfare.co.uk,airport,false,*,*,false
BWI,BUR,theflightsfare.co.uk,airport,false,*,*,false
MCO,CLE,theflightsfare.co.uk,airport,false,*,*,false
