departure_code,arrival_code,pos_provider_code,route_type,direct_flight_only,allowed_inbound_days,allowed_outbound_days,sum_of_oneway
DUS,HRG,condor.com,airport,false,*,*,false
BEY,DUS,condor.com,airport,false,*,*,false
BER,DXB,condor.com,airport,false,*,*,false
HRG,DUS,condor.com,airport,false,*,*,false
FRA,HRG,condor.com,airport,false,*,*,false
DXB,BER,condor.com,airport,false,*,*,false
YTO,FRA,condor.com,airport,false,*,*,false
HRG,FRA,condor.com,airport,false,*,*,false
HAM,HRG,condor.com,airport,false,*,*,false
MUC,HRG,condor.com,airport,false,*,*,false
STR,HRG,condor.com,airport,false,*,*,false
FRA,YTO,condor.com,airport,false,*,*,false
LEJ,HRG,condor.com,airport,false,*,*,false
YTO,DXB,condor.com,airport,false,*,*,false
HRG,LEJ,condor.com,airport,false,*,*,false
HRG,HAM,condor.com,airport,false,*,*,false
FRA,PMI,condor.com,airport,false,*,*,false
YTO,IST,condor.com,airport,false,*,*,false
BER,HRG,condor.com,airport,false,*,*,false
PMI,FRA,condor.com,airport,false,*,*,false
YTO,DOH,condor.com,airport,false,*,*,false
FRA,NYC,condor.com,airport,false,*,*,false
YHZ,DOH,condor.com,airport,false,*,*,false
DUS,PMI,condor.com,airport,false,*,*,false
HRG,MUC,condor.com,airport,false,*,*,false
DUS,AGP,condor.com,airport,false,*,*,false
HAM,CAI,condor.com,airport,false,*,*,false
HAM,PMI,condor.com,airport,false,*,*,false
FRA,CAI,condor.com,airport,false,*,*,false
PMI,DUS,condor.com,airport,false,*,*,false
YEA,DXB,condor.com,airport,false,*,*,false
DUS,CAI,condor.com,airport,false,*,*,false
FRA,AGP,condor.com,airport,false,*,*,false
FRA,PHX,condor.com,airport,false,*,*,false
FRA,CUN,condor.com,airport,false,*,*,false
HRG,BER,condor.com,airport,false,*,*,false
DUS,CHQ,condor.com,airport,false,*,*,false
FRA,PUJ,condor.com,airport,false,*,*,false
FRA,BCN,condor.com,airport,false,*,*,false
MUC,CAI,condor.com,airport,false,*,*,false
HAM,AYT,condor.com,airport,false,*,*,false
HAM,AGA,condor.com,airport,false,*,*,false
FRA,BKK,condor.com,airport,false,*,*,false
YTO,AMD,condor.com,airport,false,*,*,false
YTO,AMM,condor.com,airport,false,*,*,false
FRA,LPA,condor.com,airport,false,*,*,false
SFO,FRA,condor.com,airport,false,*,*,false
DUS,AGA,condor.com,airport,false,*,*,false
YTO,CAI,condor.com,airport,false,*,*,false
YHZ,CAI,condor.com,airport,false,*,*,false
YTO,DEL,condor.com,airport,false,*,*,false
SAT,DOH,condor.com,airport,false,*,*,false
JNB,FRA,condor.com,airport,false,*,*,false
HRG,STR,condor.com,airport,false,*,*,false
HAM,AGP,condor.com,airport,false,*,*,false
LEJ,PMI,condor.com,airport,false,*,*,false
HAM,AMM,condor.com,airport,false,*,*,false
AGA,DUS,condor.com,airport,false,*,*,false
YTO,MIL,condor.com,airport,false,*,*,false
MUC,PMI,condor.com,airport,false,*,*,false
CGN,PMI,condor.com,airport,false,*,*,false
YYC,DXB,condor.com,airport,false,*,*,false
MBJ,CAI,condor.com,airport,false,*,*,false
FRA,EVN,condor.com,airport,false,*,*,false
HAM,LPA,condor.com,airport,false,*,*,false
FRA,HAV,condor.com,airport,false,*,*,false
BKK,FRA,condor.com,airport,false,*,*,false
YVR,AMM,condor.com,airport,false,*,*,false
YTO,BEY,condor.com,airport,false,*,*,false
YTO,ANK,condor.com,airport,false,*,*,false
FRA,CPT,condor.com,airport,false,*,*,false
DUS,HER,condor.com,airport,false,*,*,false
DUS,TCI,condor.com,airport,false,*,*,false
DUS,RHO,condor.com,airport,false,*,*,false
BER,KTM,condor.com,airport,false,*,*,false
MIA,FRA,condor.com,airport,false,*,*,false
NUE,HRG,condor.com,airport,false,*,*,false
MLE,BER,condor.com,airport,false,*,*,false
HAM,CHQ,condor.com,airport,false,*,*,false
HER,LEJ,condor.com,airport,false,*,*,false
YEA,AMM,condor.com,airport,false,*,*,false
YYC,IST,condor.com,airport,false,*,*,false
YVR,DXB,condor.com,airport,false,*,*,false
MUC,AGA,condor.com,airport,false,*,*,false
FRA,MIA,condor.com,airport,false,*,*,false
FRA,YHZ,condor.com,airport,false,*,*,false
YTO,BOM,condor.com,airport,false,*,*,false
NUE,LPA,condor.com,airport,false,*,*,false
LPA,MUC,condor.com,airport,false,*,*,false
FRA,YVR,condor.com,airport,false,*,*,false
AGA,FRA,condor.com,airport,false,*,*,false
YVR,FRA,condor.com,airport,false,*,*,false
YTO,MCT,condor.com,airport,false,*,*,false
